tid, sentiment, time
109435713910251855872, 3, {$date=2014-02-18T09:54:26.000Z}
109435392423204638721, 2, {$date=2014-02-17T12:36:57.000Z}
109435352891881033728, 3, {$date=2014-02-17T09:59:52.000Z}
109435158298656903168, 1, {$date=2014-02-16T21:06:37.000Z}
109434974533494505472, 1, {$date=2014-02-16T08:56:24.000Z}
109434742055386877953, 1, {$date=2014-02-15T17:32:37.000Z}
109434651406859898880, 3, {$date=2014-02-15T11:32:25.000Z}
109434540432089808896, 1, {$date=2014-02-15T04:11:27.000Z}
109434022572590518272, 1, {$date=2014-02-13T17:53:39.000Z}
109433905458814779394, 1, {$date=2014-02-13T10:08:17.000Z}
109433860253872951296, 2, {$date=2014-02-13T07:08:39.000Z}
109433562598366543872, 1, {$date=2014-02-12T11:25:53.000Z}
109433231998522777600, 2, {$date=2014-02-11T13:32:12.000Z}
109432768683039932417, 1, {$date=2014-02-10T06:51:09.000Z}
109432215650245672960, 1, {$date=2014-02-08T18:13:35.000Z}
109431875942470807552, 1, {$date=2014-02-07T19:43:43.000Z}
109431089107591110657, 1, {$date=2014-02-05T15:37:07.000Z}
109430381209793748992, 1, {$date=2014-02-03T16:44:11.000Z}
109429861045734088704, 2, {$date=2014-02-02T06:17:14.000Z}
109436043783851876352, 2, {$date=2014-02-19T07:45:14.000Z}
109436365894508609537, 2, {$date=2014-02-20T05:05:11.000Z}
109429135759757414400, 2, {$date=2014-01-31T06:15:12.000Z}
109428808019061637120, 2, {$date=2014-01-30T08:32:53.000Z}
109428572449987239936, 1, {$date=2014-01-29T16:56:49.000Z}
109428414310524547072, 2, {$date=2014-01-29T06:28:25.000Z}
109428185523086049280, 2, {$date=2014-01-28T15:19:18.000Z}
109428091306858909696, 1, {$date=2014-01-28T09:04:55.000Z}
109428016710700892160, 1, {$date=2014-01-28T04:08:30.000Z}
109427870433883324416, 3, {$date=2014-01-27T18:27:15.000Z}
109427842486912831489, 1, {$date=2014-01-27T16:36:12.000Z}
109427800202422927360, 1, {$date=2014-01-27T13:48:11.000Z}
109427076268811513856, 2, {$date=2014-01-25T13:51:31.000Z}
109426343416687906816, 2, {$date=2014-01-23T13:19:26.000Z}
109425543462235021312, 1, {$date=2014-01-21T08:20:42.000Z}
109425206101684936705, 1, {$date=2014-01-20T10:00:09.000Z}
109424839266162593792, 1, {$date=2014-01-19T09:42:28.000Z}
109424296381272948736, 1, {$date=2014-01-17T21:45:15.000Z}
109424149695288451073, 1, {$date=2014-01-17T12:02:22.000Z}
109424129085191634945, 1, {$date=2014-01-17T10:40:28.000Z}
109424058054141685760, 3, {$date=2014-01-17T05:58:13.000Z}
109423814997936832513, 1, {$date=2014-01-16T13:52:24.000Z}
109423464437350019072, 1, {$date=2014-01-15T14:39:24.000Z}
109423050289206161409, 1, {$date=2014-01-14T11:13:43.000Z}
109422691850714378240, 1, {$date=2014-01-13T11:29:25.000Z}
109421947569812418561, 2, {$date=2014-01-11T10:11:54.000Z}
109421191700086669312, 1, {$date=2014-01-09T08:08:21.000Z}
109420484620782542850, 1, {$date=2014-01-07T09:18:40.000Z}
109419094272558628865, 1, {$date=2014-01-03T13:13:55.000Z}
109418041271585091585, 1, {$date=2013-12-31T15:29:40.000Z}
109436540235829108736, 2, {$date=2014-02-20T16:37:57.000Z}
109436831264864092160, 1, {$date=2014-02-21T11:54:24.000Z}
109437098032685780992, 1, {$date=2014-02-22T05:34:26.000Z}
109437456341662048256, 1, {$date=2014-02-23T05:18:14.000Z}
109437553493256056832, 1, {$date=2014-02-23T11:44:16.000Z}
109437822523166564352, 3, {$date=2014-02-24T05:33:18.000Z}
109437893175735115776, 1, {$date=2014-02-24T10:14:03.000Z}
109437951930153717760, 2, {$date=2014-02-24T14:07:31.000Z}
109438196155738890240, 2, {$date=2014-02-25T06:17:59.000Z}
109438239817692762113, 1, {$date=2014-02-25T09:11:29.000Z}
109438981153782267904, 2, {$date=2014-02-27T10:17:17.000Z}
109438885307891478528, 1, {$date=2014-02-27T03:56:26.000Z}
109438665298799886336, 1, {$date=2014-02-26T13:22:11.000Z}
109438623197655597057, 1, {$date=2014-02-26T10:34:54.000Z}
109438584212468137984, 1, {$date=2014-02-26T07:59:59.000Z}
109438558190037250048, 1, {$date=2014-02-26T06:16:35.000Z}
109438391148155912193, 1, {$date=2014-02-25T19:12:49.000Z}
109438285621283418112, 1, {$date=2014-02-25T12:13:29.000Z}
109438245922833592320, 1, {$date=2014-02-25T09:35:44.000Z}
109439352903086514176, 1, {$date=2014-02-28T10:54:29.000Z}
109439638716496084992, 1, {$date=2014-03-01T05:50:12.000Z}
